0.817,6.744,-6.720,0.085,-0.061, 0.217, 0.040, 0.219,0.610,0.000,0.302, 0.219, 0.205, 2.379,-0.754, 0.109, 1.160, 0.600, 0.164, 0.097, 0.436, 0.246, 2.597,-0.154, 0.274, 1.257,-0.086,-0.048, 0.000;
0.839,7.290,-6.843,0.527,-0.081, 0.223, 0.042, 0.219,0.308,0.103,0.000, 0.209, 0.209, 2.406,-0.649,-0.001, 1.269, 0.491, 0.273,-0.013, 0.432, 0.251, 2.625,-0.158, 0.272, 1.257,-0.085,-0.050, 0.000;
0.851,7.074,-6.124,0.091,0.859, 0.228, 0.045, 0.215,0.353,0.176,-0.262, 0.202, 0.210, 2.425,-0.586, 0.061, 1.333, 0.426, 0.209,-0.077, 0.430, 0.255, 2.641,-0.160, 0.270, 1.257,-0.085,-0.050, 0.000;
0.863,7.749,-6.122,0.631,0.997, 0.234, 0.045, 0.230,0.556,0.000,1.235, 0.194, 0.213, 2.426,-0.528, 0.121, 1.269, 0.366, 0.148,-0.013, 0.428, 0.258, 2.656,-0.162, 0.269, 1.257,-0.085,-0.051, 0.000;
0.876,8.219,-6.192,1.195,0.832, 0.241, 0.047, 0.219,0.532,0.177,-0.917, 0.185, 0.215, 2.453,-0.593, 0.056, 1.333, 0.429, 0.211,-0.076, 0.426, 0.262, 2.672,-0.164, 0.268, 1.257,-0.084,-0.052, 0.000;
0.888,7.569,-6.591,0.393,0.586, 0.248, 0.049, 0.219,0.537,0.179,0.000, 0.176, 0.216, 2.469,-0.658, 0.117, 1.270, 0.492, 0.149,-0.014, 0.424, 0.265, 2.687,-0.166, 0.266, 1.257,-0.084,-0.052, 0.000;
0.891,7.579,-7.363,0.462,-0.246, 0.254, 0.051, 0.219,2.444,0.815,0.000, 0.169, 0.214, 2.472,-0.672, 0.103, 1.284, 0.505, 0.163,-0.028, 0.424, 0.266, 2.691,-0.167, 0.266, 1.257,-0.084,-0.052, 0.000;
0.913,7.341,-7.520,0.197,-0.375, 0.259, 0.054, 0.219,0.205,0.102,0.000, 0.161, 0.218, 2.499,-0.787,-0.009, 1.175, 0.616, 0.273, 0.082, 0.420, 0.271, 2.718,-0.171, 0.264, 1.257,-0.083,-0.054, 0.000;
0.925,6.135,-7.916,-0.906,-0.876, 0.266, 0.054, 0.219,0.549,0.000,0.000, 0.152, 0.221, 2.515,-0.726, 0.052, 1.236, 0.553, 0.210, 0.021, 0.418, 0.275, 2.733,-0.173, 0.263, 1.257,-0.082,-0.054, 0.000;
0.928,6.761,-8.043,-0.403,-0.879, 0.272, 0.056, 0.219,2.385,0.795,0.000, 0.145, 0.220, 2.518,-0.712, 0.066, 1.250, 0.539, 0.196, 0.007, 0.417, 0.275, 2.737,-0.173, 0.262, 1.257,-0.082,-0.054, 0.000;
