0.562,-21.093,23.165,18.286,-16.214, 0.232, 0.183,-2.801,0.000,0.000,-2.303, 0.085, 0.203, 5.255,-0.654, 0.497, 4.320, 0.047, 0.002,-2.749;
0.575,-20.332,22.915,18.195,-15.612, 0.232, 0.183,-2.820,0.000,0.000,-1.541, 0.078, 0.210, 5.294,-0.620, 0.529, 4.261, 0.004,-0.042,-2.690;
0.588,-19.985,22.543,17.722,-15.164, 0.234, 0.183,-2.853,0.174,0.000,-2.592, 0.067, 0.216, 5.347,-0.675, 0.471, 4.204, 0.049, 0.003,-2.633;
0.600,-19.234,22.344,17.710,-14.600, 0.234, 0.183,-2.871,0.000,0.000,-1.540, 0.060, 0.221, 5.384,-0.642, 0.501, 4.150, 0.007,-0.039,-2.579;
0.612,-18.964,21.974,17.203,-14.193, 0.234, 0.183,-2.886,0.000,0.000,-1.182, 0.052, 0.227, 5.418,-0.693, 0.446, 4.096, 0.049, 0.003,-2.525;
0.623,-18.261,21.745,17.174,-13.691, 0.234, 0.183,-2.900,0.000,0.000,-1.263, 0.045, 0.232, 5.450,-0.661, 0.475, 4.045, 0.009,-0.037,-2.474;
0.635,-17.938,21.401,16.759,-13.296, 0.234, 0.183,-2.929,0.000,0.000,-2.395, 0.037, 0.237, 5.498,-0.712, 0.420, 3.993, 0.052, 0.006,-2.423;
0.647,-17.222,21.151,16.741,-12.812, 0.234, 0.183,-2.944,0.000,0.000,-1.221, 0.029, 0.242, 5.532,-0.677, 0.449, 3.942, 0.009,-0.036,-2.371;
0.660,-16.958,20.800,16.262,-12.421, 0.234, 0.183,-2.959,0.000,0.000,-1.215, 0.020, 0.247, 5.566,-0.728, 0.394, 3.890, 0.052, 0.007,-2.319;
0.672,-16.189,20.553,16.336,-11.971, 0.234, 0.183,-2.989,0.000,0.000,-2.469, 0.012, 0.252, 5.615,-0.693, 0.423, 3.842, 0.010,-0.036,-2.271;
0.683,-15.947,20.240,15.908,-11.615, 0.234, 0.183,-3.006,0.000,0.000,-1.466, 0.004, 0.256, 5.650,-0.741, 0.369, 3.795, 0.051, 0.005,-2.224;
0.695,-15.216,19.999,16.012,-11.229, 0.234, 0.183,-3.036,0.000,0.000,-2.582,-0.004, 0.261, 5.698,-0.707, 0.397, 3.751, 0.010,-0.035,-2.180;
0.707,-14.973,19.683,15.587,-10.877, 0.234, 0.183,-3.051,0.000,0.000,-1.230,-0.012, 0.265, 5.733,-0.757, 0.341, 3.705, 0.053, 0.007,-2.134;
0.720,-14.259,19.399,15.616,-10.476, 0.234, 0.183,-3.066,0.000,0.000,-1.212,-0.021, 0.269, 5.767,-0.720, 0.371, 3.657, 0.009,-0.036,-2.086;
0.732,-14.019,19.087,15.189,-10.122, 0.237, 0.183,-3.082,0.185,0.000,-1.326,-0.032, 0.273, 5.802,-0.768, 0.315, 3.610, 0.052, 0.006,-2.039;
0.744,-13.251,18.820,15.334,-9.765, 0.237, 0.183,-3.112,0.000,0.000,-2.498,-0.041, 0.277, 5.851,-0.732, 0.343, 3.567, 0.010,-0.036,-1.996;
0.756,-13.011,18.509,14.917,-9.420, 0.237, 0.183,-3.127,0.000,0.000,-1.203,-0.050, 0.281, 5.885,-0.782, 0.286, 3.521, 0.053, 0.008,-1.950;
0.768,-12.244,18.196,15.057,-9.106, 0.237, 0.183,-3.157,0.000,0.000,-2.401,-0.059, 0.284, 5.934,-0.744, 0.315, 3.477, 0.010,-0.036,-1.906;
0.781,-12.022,17.900,14.652,-8.773, 0.237, 0.183,-3.171,0.000,0.000,-1.230,-0.068, 0.288, 5.968,-0.791, 0.259, 3.433, 0.052, 0.007,-1.862;
0.793,-11.327,17.586,14.720,-8.461, 0.237, 0.183,-3.186,0.000,0.000,-1.245,-0.077, 0.291, 6.002,-0.754, 0.287, 3.389, 0.010,-0.035,-1.819;
0.805,-11.652,17.884,15.013,-8.782, 0.237, 0.183,-3.216,0.000,0.000,-2.435,-0.086, 0.294, 6.051,-0.802, 0.229, 3.433, 0.053, 0.008,-1.862;
0.818,-10.928,17.516,15.055,-8.467, 0.237, 0.183,-3.231,0.000,0.000,-1.122,-0.096, 0.297, 6.087,-0.760, 0.260, 3.385, 0.007,-0.039,-1.814;
0.829,-10.741,17.259,14.682,-8.165, 0.237, 0.183,-3.246,0.000,0.000,-1.389,-0.104, 0.299, 6.118,-0.801, 0.210, 3.346, 0.044,-0.001,-1.775;
0.840,-10.619,17.469,15.377,-8.526, 0.237, 0.181,-3.275,0.000,-0.199,-2.622,-0.112, 0.303, 6.165,-0.765, 0.236, 3.386, 0.004,-0.041,-1.815;
0.851,-10.417,17.209,15.004,-8.211, 0.237, 0.183,-3.290,0.000,0.198,-1.300,-0.121, 0.303, 6.197,-0.808, 0.183, 3.346, 0.044,-0.001,-1.775;
